data_id,pred_len,auxi_mode,mse,mae,exp_dir
ETTm1,720,Soft-DTW,0.478230357170105,0.4496065378189087,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTm1_720_0.9995_0.0005_0.0005_TST_100_10_128_None_soft_dtw
ETTm1,Avg,Soft-DTW,0.39670801907777786,0.4019339233636856,
ETTm1,96,DTW,0.33182862401008606,0.3642325699329376,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTm1_96_0.9995_0.0005_0.0005_TST_100_10_128_None_dtw
ETTm1,192,DTW,0.3695293962955475,0.3864043951034546,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTm1_192_0.9995_0.0005_0.0005_TST_100_10_128_None_dtw
ETTm1,336,DTW,0.4086475968360901,0.4104112982749939,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTm1_336_0.9995_0.0005_0.0005_TST_100_10_128_None_dtw
ETTm1,720,DTW,0.4758516252040863,0.44843336939811707,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTm1_720_0.9995_0.0005_0.0005_TST_100_10_128_None_dtw
ETTm1,Avg,DTW,0.3964643105864525,0.4023704081773758,
ETTh1,96,DF,0.3771934807300567,0.3958878517150879,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ETTh1_96_1.0_0.0_0.0001_type3_100_10_128_128_2_8_96_32
ETTh1,192,DF,0.4370187819004059,0.42538982629776,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ETTh1_192_1.0_0.0_0.0001_type3_100_10_128_128_2_8_96_32
ETTh1,336,DF,0.4857693314552307,0.4485799074172973,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ETTh1_336_1.0_0.0_0.0001_type3_100_10_128_128_2_8_96_32
ETTh1,720,DF,0.487772136926651,0.4673515260219574,/data/home/Licheng/workspace/TSF-PCA/results_PCA/baselines/Fredformer_ETTh1_720_1.0_0.0_0.0001_type3_100_10_128_128_2_8_96_32
ETTh1,Avg,DF,0.4469384327530861,0.43430227786302567,
