model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,mape,mspe,exp_dir
CycleNet,336,ETTh1,0.0005,32,5,0,30,type1,0.4867763817310333,0.45233091711997986,9.90592098236084,41280.046875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTh1_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTh1,0.0005,32,5,0,30,type1,0.4867434799671173,0.47490739822387695,10.296683311462402,45863.5234375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTh1_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,ETTh2,0.0005,32,5,0,30,type1,0.2986270785331726,0.3473372161388397,1.4175219535827637,359.7084655761719,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTh2_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTh2,0.0005,32,5,0,30,type1,0.38467904925346375,0.39978450536727905,1.5603793859481812,355.2909240722656,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTh2_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,ETTh2,0.0005,32,5,0,30,type1,0.42600154876708984,0.43554964661598206,1.7788608074188232,456.08087158203125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTh2_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTh2,0.0005,32,5,0,30,type1,0.4376113712787628,0.4504547715187073,2.008331060409546,607.9117431640625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTh2_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,ETTm1,0.0005,32,5,0,30,type1,0.34163931012153625,0.3675400912761688,2.070788621902466,302.56646728515625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm1_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTm1,0.0005,32,5,0,30,type1,0.37892064452171326,0.3848487138748169,2.1554296016693115,326.89678955078125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm1_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,ETTm1,0.0005,32,5,0,30,type1,0.4089929163455963,0.40451034903526306,2.2237792015075684,332.2371520996094,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm1_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTm1,0.0005,32,5,0,30,type1,0.46576637029647827,0.43628010153770447,2.3916049003601074,381.30535888671875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm1_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,ETTm2,0.0005,32,5,0,30,type1,0.17188246548175812,0.25515300035476685,1.1003831624984741,234.05056762695312,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm2_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTm2,0.0005,32,5,0,30,type1,0.23804637789726257,0.29755645990371704,1.2176698446273804,246.06948852539062,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm2_192_1.0_0.0_0.0005_type1_30_5_32
