model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,exp_dir
Autoformer,12,PEMS08,0.0005,32,3,0,10,type1,0.2317313551902771,0.33412280678749084,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_12_1.0_0.0_0.0005_type1_10_3_32
Autoformer,24,PEMS08,0.0005,32,3,0,10,type1,0.5446258783340454,0.5503721833229065,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_24_1.0_0.0_0.0005_type1_10_3_32
Autoformer,36,PEMS08,0.0005,32,3,0,10,type1,0.3786486089229584,0.43633705377578735,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_36_1.0_0.0_0.0005_type1_10_3_32
Autoformer,48,PEMS08,0.0005,32,3,0,10,type1,0.5311478972434998,0.5015031695365906,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_48_1.0_0.0_0.0005_type1_10_3_32
Autoformer,96,Traffic,0.0005,4,3,0,10,type1,0.574562668800354,0.3564915359020233,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Traffic_96_1.0_0.0_0.0005_type1_10_3_4
Autoformer,192,Traffic,0.0005,4,3,0,10,type1,0.6470528841018677,0.39413982629776,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Traffic_192_1.0_0.0_0.0005_type1_10_3_4
Autoformer,336,Traffic,0.0005,4,3,0,10,type1,0.6938749551773071,0.44591182470321655,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Traffic_336_1.0_0.0_0.0005_type1_10_3_4
Autoformer,720,Traffic,0.0005,4,3,0,10,type1,0.731273353099823,0.46783342957496643,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Traffic_720_1.0_0.0_0.0005_type1_10_3_4
Autoformer,96,Weather,0.0005,32,3,0,10,type1,0.23260454833507538,0.3057343065738678,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Weather_96_1.0_0.0_0.0005_type1_10_3_32
Autoformer,192,Weather,0.0005,32,3,0,10,type1,0.2855120897293091,0.34716951847076416,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Weather_192_1.0_0.0_0.0005_type1_10_3_32
